company_a_name,company_a_address,company_a_state,company_a_activity,company_b_name,company_b_address,company_b_state,company_b_activity,same_entity
RGOURAS CATERERS,"B-101, MILLENIUM SQUARE, DINDOLI-KHARAWASA ROAD,DINDOLI,  ",Gujarat,Other community social and personal service activities,RGOURAS CATERERS PRIVATE LIMITED,"B-101, MILLENIUM SQUARE, DINDOLI-KHARAWASA ROAD,DINDOLI,  ",Gujarat,Other community social and personal service activities,1
ABRAXAS EXPORTS,"W-26,GREATER KAILASH-II  ",Delhi,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,SAAKSHIN TECHNOLOGIES,"NO. 1336, 1ST H MAIN, GIRINAGAR II PHASE,   ",Karnataka,Real estate renting and business activities,0
VEDARYA FOOD,"HOUSE NO. 947, WARD 17,MAHARAJA HATA  ",Bihar,Manufacturing,BIOSYNC PHARMACEUTICALS,SCF NO 259 MOTOR MARKETMANIMAJRA  ,Chandigarh,Manufacturing,0
V R M SHARE BROKING,"3-A, 1st Floor, Plot 285, Chaturbhuj Jivandas BldgShamaldas Gandhi Marg, Marine Lines, Kalbadevi,  ",Maharashtra,Financial intermediation,AWARE INDIA FOUNDATION,"H. No. 5-9-24/78, Pragathi BhavanLake Hill Road, Adarsh Nagar  ",Telangana,Other community social and personal service activities,0
PERSONAL TOUCH SERVICES INDIA,"NO. 242, SONI HOUSE, JEEVANKENDRA LAYOUT,CAMBRIDGE ROAD, ULSOOR,  ",Karnataka,Real estate renting and business activities,VRITEE CHIT FUNDS INDIA,"No:59/19,Mettu Agraharam Street  ",Tamil Nadu,Financial intermediation,0
VIMUKA TECHNOLOGIES,8-2-1/B/1SVCR COMPLEX  ,Telangana,Real estate renting and business activities,NIKI CONSTRUCTION TRANSPORT,"Plot No.-222, Khata No.-567/573, Unit-13,Right Side of RMC Road,Adjacent to NH-6, Baraipali  ",Orissa,Construction,0
PLUS COMPUTER SYSTEMS,203 ANUPAM BHAWAN A-1/3NANIWDAR BAGH AZADPURDELHI  ,Delhi,Manufacturing,TWENTIETH CENTURY CARRIERS ANDCOMMERCIAL,"14-B, MONOITH NAPEAN SEA RD.,BOMBAY-6   ",Maharashtra,Transport storage and communications,0
BOXSMART SHIPPING,"703, B-Wing, 7th Floor, Bldg-68, Palace Shiv SagarRd No.13 Tilak Nagar, Amrapali Hostel, Chembur(W)  ",Maharashtra,Transport storage and communications,BOXSMART SHIPPING PVT LTD,"703, B-Wing, 7th Floor, Bldg-68, Palace Shiv SagarRd No.13 Tilak Nagar, Amrapali Hostel, Chembur(W)  ",Maharashtra,Transport storage and communications,1
YASH STOCKBROKERS,"7, TRIPTA SADAN 31 SHANTAWADIJ.P.ROAD.ANDHERI W  ",Maharashtra,Financial intermediation,CHIRAG RAAJ CONSTRUCTION,"HOUSE NO. 326 , ROAD NO. 7KAGAL NAGAR, SONARI (WEST)  ",Jharkhand,Construction,0
GRAHASAKTHI PROPERTIES,475DR  NANJAPPA ROADCOIMBATORE  ,Tamil Nadu,Real estate renting and business activities,ARADHYA SOLAR POWER,"1589,G/F Madarsa Road,Kashmiri Gate  ",Delhi,Real estate renting and business activities,0
NAIYA SIGN,"203 SANKALP COMPLEXT P NO. 2, F. P. NO. 104, NR INDO AFRICA HALL  ",Gujarat,Manufacturing,INVESTWELL SECUREX,"102 VEERMAHAL, OPP BHARATMATA THEATRELALBAUG-PAREL  ",Maharashtra,Financial intermediation,0
KUPPAM FOOD AND VEGETABLE PROCESSING,JAIN INDUSTRIAL COMPLEX JAINPIPE NAGAR JALGAON   ,Maharashtra,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,SAHAJ OUTSOURCING SERVICES,B-3/179PASCHIM VIHAR  ,Delhi,Real estate renting and business activities,0
CHINTANA INFO TECH OPC,"NO 8, 1ST FLOOR, WEVARS COLONY,YALLAMMA TEMPLE ROAD, NELAMANGALA  ",Karnataka,Manufacturing,CHINTANA INFO TECH OPC PVT. LTD.,"NO 8, 1ST FLOOR, WEVARS COLONY,YALLAMMA TEMPLE ROAD, NELAMANGALA  ",Karnataka,Manufacturing,1
MS CORPORATE MANAGEMENT CONSULTANTS,"C-502, SONI PARK CO-OP HSG SOCIETY LTDCHOWKIBADI, SIMPOLY LINKING ROAD, BORIVALI WEST  ",Maharashtra,Other community social and personal service activities,MS CORPORATE MANAGEMENT CONSULTANTS PVT LTD,"C-502, SONI PARK CO-OP HSG SOCIETY LTDCHOWKIBADI, SIMPOLY LINKING ROAD, BORIVALI WEST  ",Maharashtra,Other community social and personal service activities,1
DADI DEVELOPMEMNT CONSTRUCTION,C-37CONNAUGHT PLACE  ,Delhi,Construction,A V S R INFRATECH,"59/23C MANALI NEWTOWN,  ",Tamil Nadu,Real estate renting and business activities,0
CAIRNHILL TRADERS INDIA,2 KAMAL KUNJVIDYANIDHI ROADJVPD SCHEME JUHU  ,Maharashtra,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,GNJ SOFTWARE SOLUTIONS,"SHOP NO 5, PLOT NO 65,G/F HIMALAYA PALACE, VIJAY BLOCK, LAXMI NAGAR  ",Delhi,Real estate renting and business activities,0
SAMRAT GOODS,"12/2F, NORTHEN AVENUEKOLKATA  ",West Bengal,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,LOYAL STRING INTERNATIONAL,"S.NO. 10/11, SUNSHINE VILAS RAHATANIROW HOUSE NO. D/6  ",Maharashtra,Real estate renting and business activities,0
MANMOHINI TEXTILE,315/1 & 316/B  NETAJI ROADKHAGRA   ,West Bengal,Manufacturing,MANMOHINI TEXTILE PRIVATE LIMITED,315/1 & 316/B  NETAJI ROADKHAGRA   ,West Bengal,Manufacturing,1
DIAMOND NDT INSPECTION SERVICES,"NEW NO.210, SRI AMMAN COMPLEXFIRST FLOOR, 5 ROADS  ",Tamil Nadu,Real estate renting and business activities,GLOSSMED HEALTHCARE,"241, Vaidhaya LayoutBeltharodi, Nagpur  ",Maharashtra,Manufacturing,0
PRICKPUNCHLASER TECHNOLOGIES,"25 FLOOR 2 12/14 CONTRACTOR BUILDING ,VAJU KOTAK MARG OFF SHAHID BHAGATSINGH R  ",Maharashtra,Other community social and personal service activities,PRICKPUNCHLASER TECHNOLOGIES PVT. LTD.,"25 FLOOR 2 12/14 CONTRACTOR BUILDING ,VAJU KOTAK MARG OFF SHAHID BHAGATSINGH R  ",Maharashtra,Other community social and personal service activities,1
PVA AQUA FARM AND GARDENS,"BLDG NO. 3/181, PALATHUNKAL HOUSE,NEDUNGADAPALLY ROAD, MALLAPALLY P.O.,  ",Kerala,Agriculture & allied,GREEN GOLD TEA INDIA,"NO. 337, DOUBLE ROAD,INDIRANAGAR I STAGE,BANGALORE-38.  ",Karnataka,Manufacturing,0
AMBEY REALTERS,"PIALI, KALARIA, SOUTH 24 PARGANAS   ",West Bengal,Real estate renting and business activities,M B ADVANI,"DEVKARAN MANSION, 14/16,VITHALDAS ROAD,MUMBAI-400 002.  ",Maharashtra,Extraterritorial organizations and bodies,0
KAUSHIK HOTELS TOURS,53 HILL CART ROADSILIGURI   ,West Bengal,Hotels and restaurants,MAGICPRIX INTERNET,KH No-388/263 H.No.-D-65New Ashok Nagar  ,Delhi,Real estate renting and business activities,0
JNJ POWERCOM SYSTEMS,"JnJ House, Plot No. 41Phase III, Cherlapally IA  ",Telangana,Real estate renting and business activities,LINGARAJ PROJECTS,PLOT NO G-1B.J.B. NAGAR  ,Orissa,Real estate renting and business activities,0
MAHANIGUM GAS SAFETY SERVICE,"C-48/202,Rekha Retreat CHS Ltd,Mira RoadNR Jagind High School, Shanti Park  ",Maharashtra,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,MAHANIGUMGASSAFETYSERVICE,"C-48/202,Rekha Retreat CHS Ltd,Mira RoadNR Jagind High School, Shanti Park  ",Maharashtra,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,1
AVDHUT PROPERTIES,"94, Natwar Chambers,Nagindas Master Road, Fort,  ",Maharashtra,Real estate renting and business activities,EMQ LABS,"H NO. 90, BLOCK - GPPITAM PURA  ",Delhi,Real estate renting and business activities,0
G P GLOBAL SOFT TECH,"No. 744, 3rd Floor, ICICI Bank Building,Tricy Road, Ramanathapuram  ",Tamil Nadu,Real estate renting and business activities,G P GLOBAL SOFT TECH LIMITED,"No. 744, 3rd Floor, ICICI Bank Building,Tricy Road, Ramanathapuram  ",Tamil Nadu,Real estate renting and business activities,1
BACHCHAN CORPORATION,"Janak, 13th North South Road,Opp. St. Joseph High School, Juhu  ",Maharashtra,Other community social and personal service activities,SRI VIJAYABHERI COTTON MILLS,"D.NO. 3-173/1, KUNCHANAPALLI (V)TADEPALLI MANDAL  ",Andhra Pradesh,Manufacturing,0
PEARL POLYPACK,B-1/33 MIYAWALI NAGARNEAR PEERA GARI CHOWK  ,Delhi,Real estate renting and business activities,SIDDHIANANTA DREAM DEVELOPERS,"OFFICE NO 602, 6TH FLOORJAIPUR ELECTRONIC MARKETNEAR RIDDHI SIDDHI CHAURAHA,GOPALPURA BYEPASS  ",Rajasthan,Real estate renting and business activities,0
MATRIBHUMI VANIJYA,"AD-76, SALT LAKE CITYSECTOR-I  ",West Bengal,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,DNH PROJECTS,"6, MANGAL TIRTH APARTMENT,OPP. VINOBA BHAVE CIVIL HOSPITAL  ",Dadra and Nagra Haveli,Construction,0
VARITURN ELECTRONICS,"PLOT NO. 196IDA PHASE-IICHERLAPALLY,  ",Telangana,Extraterritorial organizations and bodies,VARITURN ELECTRONICS LIMITED,"PLOT NO. 196IDA PHASE-IICHERLAPALLY,  ",Telangana,Extraterritorial organizations and bodies,1
A E SECURITY SOLUTIONS,"NO.1306/33, IST FLOOR, 25TH MAIN,JAYANAGAR 9TH BLOCK,  ",Karnataka,Real estate renting and business activities,HINDOL INVESTMENTS COMPANY A CO,"1A, JIWAN, L. D . RUPAREL MARGMALBARHILL  ",Maharashtra,Financial intermediation,0
ONS FOODS BEVERAGES,"E-372B, MANDIR MARGCHAJJUPUR, EAST BABARPUR, SHAHADRA  ",Delhi,Manufacturing,WESTERN INDIA DEVELOPMENT CO,,Maharashtra,Extraterritorial organizations and bodies,0
S KUMAR CAPITAL SERVICES,"R-505,NEW RAJINDER NAGAR,  ",Delhi,Financial intermediation,SARGIO INFRA,"GAURAV SINGH, RANIPUR, KHANJADIPUR,SIDHARTHA NAGAR,  ",Uttar Pradesh,Real estate renting and business activities,0
KARTKIO ONLINE SERVICES,"KARTKIO ONLINE SERVICES PRIVATE LIMITED, H.NO 28,CHETNA SAMATI, NORTH A.G. COLONY  ",Bihar,Real estate renting and business activities,KARTKIO  ONLINE  SERVICES,"KARTKIO ONLINE SERVICES PRIVATE LIMITED, H.NO 28,CHETNA SAMATI, NORTH A.G. COLONY  ",Bihar,Real estate renting and business activities,1
BAJRANGPRASAD SIMDEGA CONSTRUCTION,C/O BAJRANG PRASADGULZAR GALI  ,Jharkhand,Construction,COAL AGENTS,6 GANESHTOLLA LANE   ,West Bengal,Mining and quarrying,0
DARE AND CARE ASSOCIATIONS,RANI BAZARPO KATRASGARH  ,Jharkhand,Real estate renting and business activities,DARE AND CARE ASSOCIATIONS PRIVATE LIMITED,RANI BAZARPO KATRASGARH  ,Jharkhand,Real estate renting and business activities,1
BHUJBAL BROTHERS CONSTRUCTION,"SR. NO. 160/1, BHUJBAL BUNGLOW,KOTHRUD,  ",Maharashtra,Construction,BHUJBAL BROTHERS CONSTRUCTION PVT LTD,"SR. NO. 160/1, BHUJBAL BUNGLOW,KOTHRUD,  ",Maharashtra,Construction,1
RACHNA FINANCIAL SERVICES,30 BENTINCK ST   ,West Bengal,Financial intermediation,ENARI HOUSING FINANCE,4/3  PAREKH PLAZA JHARYAVALLABH BHAI RDVILE PARL (W)  ,Maharashtra,Financial intermediation,0
RADIANCE ALLUMINA,"Plot No. A - 233, Kagal-Hatkangale Five Star MIDC,Dist. Kolhapur  ",Maharashtra,Mining and quarrying,ASVIK VALVES,"Block No.5, 2nd Floor, Plot 191A, Kanchan Villa,Sion Road No. 25B, Gujarat Society, Sion  ",Maharashtra,Manufacturing,0
STERCULIA REALTORS AND DEVELOPERS,"FIRST FLOOR, HIMANSHU SADAN5, PARK ROAD  ",Uttar Pradesh,Construction,STERCULIA REALTORS AND DEVELOPERS LIMITED,"FIRST FLOOR, HIMANSHU SADAN5, PARK ROAD  ",Uttar Pradesh,Construction,1
ANIKA SEEDS AND FARMS,"101/32 B,SHRI GANESH COMPLEX VEER SAVARKAR BLOCKSHAKKARPUR  ",Delhi,Agriculture & allied,ANIKA SEEDS AND FARMS PRIVATE LIMITED,"101/32 B,SHRI GANESH COMPLEX VEER SAVARKAR BLOCKSHAKKARPUR  ",Delhi,Agriculture & allied,1
VERDICT MARVELLOUS IMMUNITY CONSULTANCYSERVICE OPC,S/o Nerander Kumar PO KHASMANIHARAN JHINJHANA  ,Uttar Pradesh,Other community social and personal service activities,VERDICTMARVELLOUSIMMUNITYCONSULTANCYSERVICEOPC,S/o Nerander Kumar PO KHASMANIHARAN JHINJHANA  ,Uttar Pradesh,Other community social and personal service activities,1
AMS COMMUNICATION,"1147, G Block,Sangam Vihar,  ",Delhi,Real estate renting and business activities,SHUBHANGI COMMERCE,"SHOP NO.-08, GREEN SCAPE ROYALPLOT NO.-25, SECTOR.-07,KAMOTHE, TAL.-PANVEL, NAVI  ",Maharashtra,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,0
BHOLA WELCARE,"9/10, B-WING, SHEETAL APRT, BAMAN BODA RDCHAKALA, ANDHERI-(EAST)  ",Maharashtra,Other community social and personal service activities,PVK CHIT FUNDS,"SRT-402, H.No:1-1-379/201, Jawahar Nagar,HYDERABAD  ",Telangana,Real estate renting and business activities,0
PATNA ADVANCE MRI CENTRE,"SHOP NO. G-4,G-5 ""Z"" COMPLEXOPP P. M. C. H. MAIN GATE , ASHOK RAJ PATH  ",Bihar,Health and social work,QFS CONSULTANCY,"A-26/3, Lower Ground floorMohan Co-operative Industrial Estate, Mathura Road  ",Delhi,Real estate renting and business activities,0
EXCELO CLEARING FORWARDING AGENTS,21B CANNING STREET   ,West Bengal,Real estate renting and business activities,ISSHAAN HEALTHCARE,"510 ,  5TH  FLOOR SG SHOPPING MALLDC CHOWK SECTER - 9 ROHINI  ",Delhi,Health and social work,0
SWATI TELETRONICS,"76/4B,EAST AZAD NAGAR  ",Delhi,Real estate renting and business activities,SWATI TELETRONICS PVT. LTD.,"76/4B,EAST AZAD NAGAR  ",Delhi,Real estate renting and business activities,1
MARUBHUMI ENCLAVE,"25, SWALLOW LANE   ",West Bengal,Real estate renting and business activities,MARUBHUMIENCLAVE,"25, SWALLOW LANE   ",West Bengal,Real estate renting and business activities,1
AAMAK INFRASTRUCTURE AND MINING,"MM-57, HOUSING BOARD COLONYALTO PORVORIM  ",Goa,Mining and quarrying,AAMAK INFRASTRUCTURE AND MINING PRIVATE LIMITED,"MM-57, HOUSING BOARD COLONYALTO PORVORIM  ",Goa,Mining and quarrying,1
RAJMA TIE UP,75/A   BAKUL BAGAN ROADPS BHAWANIPUR  ,West Bengal,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,RC MAHENDRA MANPOWER SERVICE,RZ- 12 Jain ParkUttam Nagar  ,Delhi,Other community social and personal service activities,0
PATEL FINANCIERS,"13, BHOGI LAL PARK, PRATAPNAGAR, BARODA-4   ",Gujarat,Financial intermediation,PATEL  FINANCIERS,"13, BHOGI LAL PARK, PRATAPNAGAR, BARODA-4   ",Gujarat,Financial intermediation,1
SUN N SONS BUILDERS AND DEVELOPERS,"I-438-H, BUSINESS BAY WEST,BAY SQUAREP O VADAKKEKAD,VADAKKEKAD  ",Kerala,Construction,NOVAMOUNT PHARMACEUTICALS,"A-69, BHARAT VIHARKAKROLA, NEAR DURGA MANDIR  ",Delhi,Manufacturing,0
SNEHAM OFFSET PRINTERS,"ROOM NO.281 B/1,CHOWANNUR PANCHAYATH,P.O. CHOWANNUR, THALAPPILLY-  ",Kerala,Manufacturing,KRISHNA BUILDING OWNERS ASSOCIATION,"224, AJC Bose RoadKolkata - 700 017  ",West Bengal,Other community social and personal service activities,0
KPC PLANTATIONS,HILARA TEA ESTATEP S KATHIGORAH CACHARSILCHAR  ,Assam,Agriculture & allied,ELEGANT STONE PRODUCTS,"4, ANAND TELI GELI CROSS RDANDHERI E BOMBAY   ",Maharashtra,Mining and quarrying,0
WADHA SPICES,"6/485,  KOONARATH HOUSEKURUVATTUR, VALLAPUZHA  ",Kerala,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,TAKSHAYA PARADISE,"Plot No. 15, Basant Vihar ColonyNear Ganga Sagar Hospital, Takrohi, Chinhat  ",Uttar Pradesh,Real estate renting and business activities,0
ADPLUS TECHNOLOGY SOLUTIONS,H NO 2707 SBI COLONYUKHARI ROAD BALDEVBAGH  ,Madhya Pradesh,Real estate renting and business activities,ADPLUS TECHNOLOGY SOLUTIONS LIMITED,H NO 2707 SBI COLONYUKHARI ROAD BALDEVBAGH  ,Madhya Pradesh,Real estate renting and business activities,1
GREYLAND LIFESCIENCES,"401,CGHS TECHNOLOGY APPARTMENT, PATPAR GANJ  ",Delhi,Manufacturing,GREYLAND LIFESCIENCES PRIVATE LIMITED,"401,CGHS TECHNOLOGY APPARTMENT, PATPAR GANJ  ",Delhi,Manufacturing,1
OMNIBRAINS SOLUTIONS,"M-37,  KANTIKUNJ ,KANTIKUNJ  ",Bihar,Real estate renting and business activities,OMNIBRAINS SOLUTIONS PVT. LTD.,"M-37,  KANTIKUNJ ,KANTIKUNJ  ",Bihar,Real estate renting and business activities,1
HAWK FINANCIERS,9 OLD CHINA BAZAR STREET3RD FLOOR   ,West Bengal,Financial intermediation,CLIK ENGINEERING CONSULTANCY SERVICES,"F NO GF-1, GEETHANJALI APARTMENTS, H NO 40-5-19/4TIKKLE ROAD, MOGALRAJAPURAM, LABBIPET  ",Andhra Pradesh,Real estate renting and business activities,0
MOTIVE EXIM,"5A/12, ANSARI ROADDARYA GANJ  ",Delhi,Real estate renting and business activities,MOTIVEEXIM,"5A/12, ANSARI ROADDARYA GANJ  ",Delhi,Real estate renting and business activities,1
DINESH BROTHERS EXPORTS,"PANCHRATNA,OPERA HOUSE,MUMBAI - 400 004.  ",Maharashtra,Extraterritorial organizations and bodies,ACQUA LEO PROFIN,"9, EZRA ST   ",West Bengal,Real estate renting and business activities,0
KHETESHWAR INFRASTRUCTURE,"103-104, 1st Flr, Kheteshwar Krupa Bldg., NearDahisar Check Naka, Mahajan Wadi, Miraroad - (E)  ",Maharashtra,Construction,LIQUID LIFE NUTRITION,"Plot No.18/1, 1st Floor, Sector-III,HUDA Techno Enclave, Hitech City, Madhapur  ",Telangana,Manufacturing,0
